property_id,type,activation_date,bathroom,floor,total_floor,furnishing,gym,latitude,longitude,lease_type,lift,locality,parking,property_age,property_size,swimming_pool,pin_code,rent,deposit,building_type
ff80808148af4d480148b046d1b2001f,BHK2,30-03-2017 15:22,2,4,4.0,SEMI_FURNISHED,0,12.96289703,77.7508272,FAMILY,1,Marathahalli,BOTH,0,1250,0,560066.0,18000,180000,AP
ff80808148d5e8280148ea6b36060a0c,BHK1,10-02-2017 18:08,1,3,3.0,SEMI_FURNISHED,1,12.95284679,77.69551897,BACHELOR,0,Marathahalli,TWO_WHEELER,4,400,0,560037.0,8500,35000,IF
ff8081814bc25254014bc9480d6208b4,BHK2,12-03-2017 17:29,2,3,3.0,SEMI_FURNISHED,0,12.9591722,77.697419,ANYONE,0,Marathahalli,FOUR_WHEELER,6,700,0,560037.0,10500,50000,IF
ff8081814bc25254014bcfdcd41b1414,BHK2,02-02-2017 12:16,2,0,0.0,SEMI_FURNISHED,0,12.95513473,77.6839196,ANYONE,0,Marathahalli,TWO_WHEELER,10,750,0,560017.0,13000,75000,IH
ff8081814c2dea94014c4b3eb33349a0,BHK2,19-03-2017 18:57,2,0,5.0,SEMI_FURNISHED,0,12.9607374,77.7026747,FAMILY,0,Marathahalli,BOTH,3,1070,0,560037.0,21000,210000,AP
ff8081814c58efc3014c643375ad1f7f,BHK2,19-03-2017 22:29,2,0,5.0,SEMI_FURNISHED,0,12.96081582,77.70269616,FAMILY,1,Marathahalli,BOTH,5,1070,0,560037.0,21000,210000,AP
ff8081814c89e06f014c8e1f57a60ae4,RK1,26-03-2017 14:58,1,4,4.0,SEMI_FURNISHED,0,12.95967029,77.70193726,ANYONE,0,Marathahalli,TWO_WHEELER,2,250,0,560037.0,5000,20000,AP
ff8081814ce18fb5014ce9c59cea1b4d,BHK1,06-03-2017 21:33,1,0,4.0,SEMI_FURNISHED,0,12.95275791,77.69549751,ANYONE,0,Marathahalli,TWO_WHEELER,4,500,0,560037.0,9500,30000,IF
ff8081814cf0d662014cf563bc491347,BHK2,16-03-2017 22:36,2,0,12.0,SEMI_FURNISHED,1,12.9581531,77.7078499,FAMILY,1,Marathahalli,BOTH,0,1170,1,560037.0,27000,270000,AP
ff8081814dc793fa014dc84cd9c709c6,RK1,16-03-2017 19:14,1,2,3.0,SEMI_FURNISHED,0,12.95804659,77.6969617,BACHELOR,0,Marathahalli,BOTH,5,450,0,560037.0,9500,40000,IF
ff8081814dc793fa014dc85954c60a39,BHK1,26-02-2017 22:02,1,1,3.0,SEMI_FURNISHED,0,12.95098016,77.70503819,ANYONE,0,Marathahalli,TWO_WHEELER,1,500,0,560037.0,9500,40000,IF
ff8081814ddc8006014ddea8bcfb1582,RK1,14-03-2017 15:56,1,4,4.0,SEMI_FURNISHED,0,12.95067894,77.70390358,ANYONE,0,Marathahalli,NONE,5,250,0,560037.0,6000,24000,IF
ff8081814e120d58014e196d66092fc8,BHK3,27-03-2017 18:20,3,2,13.0,FULLY_FURNISHED,1,12.95861858,77.70553303,BACHELOR,1,Marathahalli,BOTH,0,1400,1,560037.0,7650,50000,AP
ff8081814eaa458d014eab24df080bee,BHK3,19-02-2017 12:54,3,3,3.0,SEMI_FURNISHED,1,12.96003772,77.70099988,BACHELOR,1,Marathahalli,BOTH,0,1500,1,560037.0,7500,48000,AP
ff8081814eafa764014eaffe700e033b,BHK2,04-03-2017 17:18,2,2,8.0,SEMI_FURNISHED,0,12.94214867,77.70139574,FAMILY,1,Marathahalli,BOTH,1,1200,0,560103.0,24000,100000,AP
ff8081814eef2dc5014ef2104578071f,BHK2,10-03-2017 19:32,2,2,2.0,SEMI_FURNISHED,0,12.9563555,77.70308957,FAMILY,0,Marathahalli,TWO_WHEELER,9,900,0,560037.0,16000,60000,IF
ff8081814eef2dc5014ef259c5cd0aa0,BHK2,10-03-2017 21:02,2,2,2.0,SEMI_FURNISHED,0,12.95441054,77.70457995,ANYONE,0,Marathahalli,TWO_WHEELER,4,900,0,560037.0,14000,50000,IF
ff8081814efee6e9014f027fd5720d4d,BHK3,28-03-2017 11:48,3,4,11.0,SEMI_FURNISHED,1,12.95678902,77.70702362,FAMILY,1,Marathahalli,BOTH,8,1640,1,,30000,250000,AP
ff8081814f3ca259014f3f8b2e130846,BHK3,14-03-2017 19:39,3,8,9.0,SEMI_FURNISHED,1,12.95554069,77.71039458,FAMILY,1,Marathahalli,BOTH,9,1500,0,560037.0,27000,200000,AP
ff8081814fb63c61014fc59b29986c39,BHK1,04-03-2017 15:51,1,2,4.0,SEMI_FURNISHED,0,12.94957584,77.70266447,ANYONE,0,Marathahalli,TWO_WHEELER,2,600,0,560037.0,11000,40000,IF
ff8081814fb63c61014fc59ce2456cae,RK1,27-02-2017 13:21,1,4,4.0,SEMI_FURNISHED,0,12.95427967,77.69643502,ANYONE,0,Marathahalli,TWO_WHEELER,2,200,0,560037.0,7000,30000,AP
ff8081814fe04aa9014fe543dec5220e,RK1,15-02-2017 22:04,1,2,5.0,FULLY_FURNISHED,0,12.95718896,77.70075814,BACHELOR,0,Marathahalli,BOTH,10,200,0,560037.0,5700,2000,IF
ff808181504251c5015045a088240e18,BHK1,27-03-2017 18:45,1,0,3.0,SEMI_FURNISHED,0,12.95261923,77.70072394,BACHELOR,0,Marathahalli,NONE,2,300,0,560037.0,7000,40000,IF
ff808181506c288f01506f71bfc80d43,BHK2,13-03-2017 11:33,1,0,3.0,SEMI_FURNISHED,0,12.96524152,77.70291947,FAMILY,0,Marathahalli,BOTH,5,750,0,560037.0,8500,6000,AP
