property_id,type,activation_date,bathroom,floor,total_floor,furnishing,gym,latitude,longitude,lease_type,lift,location,parking,property_age,property_size,swimming_pool,pin_code,rent,deposit,building_type
ff8081814bd62607014be805dfed1f43,BHK2,25-03-2017 16:02,2,2,2.0,SEMI_FURNISHED,0,12.90311895,77.62507201,ANYONE,0,Bommanahalli,BOTH,1,800,0,560068.0,12000,60000,AP
ff8081814c58efc3014c64d26b5a22c0,BHK2,05-03-2017 16:19,2,0,3.0,NOT_FURNISHED,0,12.90696903,77.63484125,FAMILY,0,Bommanahalli,TWO_WHEELER,2,600,0,560102.0,1500,500000,IF
ff8081814cb771fb014cc5fc3ae52ae8,BHK2,09-03-2017 11:10,2,2,4.0,SEMI_FURNISHED,0,12.90199297,77.63401352,FAMILY,1,Bommanahalli,BOTH,7,1212,0,560068.0,16000,150000,AP
ff8081814d1e1f05014d1e6fc29402ee,BHK2,11-02-2017 17:42,2,0,1.0,SEMI_FURNISHED,1,12.90084144,77.61787716,FAMILY,0,Bommanahalli,BOTH,10,880,1,560076.0,16500,165000,IF
ff8081814d42cfff014d46f6bef50f23,BHK2,21-03-2017 10:36,2,4,5.0,SEMI_FURNISHED,0,12.9099259,77.6220975,ANYONE,1,Bommanahalli,BOTH,0,1200,0,560068.0,25000,150000,AP
ff8081814d668c41014d6c174fda1fc0,BHK3,09-02-2017 14:00,2,3,3.0,SEMI_FURNISHED,1,12.89676236,77.61430207,FAMILY,1,Bommanahalli,BOTH,3,1410,1,560076.0,18000,200000,AP
ff8081814d76c9df014d7a2d7b8a0c12,BHK2,07-02-2017 14:44,1,1,1.0,SEMI_FURNISHED,0,12.89018984,77.62001711,FAMILY,0,Bommanahalli,BOTH,8,450,0,560068.0,7000,70000,IF
ff8081814d90a80e014d913b6d58034d,BHK2,04-03-2017 17:24,2,2,2.0,NOT_FURNISHED,0,12.8982529,77.61771315,ANYONE,0,Bommanahalli,TWO_WHEELER,1,950,0,560068.0,7000,40000,IF
ff8081814dbce3da014dbd3ba9a7036c,BHK2,02-02-2017 12:08,2,2,2.0,SEMI_FURNISHED,0,12.90149678,77.63143066,ANYONE,0,Bommanahalli,NONE,3,550,0,560068.0,13500,50000,IF
ff8081814e5cc5af014e6391b40c435c,BHK1,25-02-2017 23:23,1,3,3.0,NOT_FURNISHED,0,12.9047497,77.62962521,FAMILY,0,Bommanahalli,TWO_WHEELER,0,600,0,560068.0,10000,100000,AP
ff8081814e7444cc014e76eda2da0c08,BHK1,09-02-2017 22:36,1,0,2.0,SEMI_FURNISHED,0,12.89506775,77.61530658,ANYONE,0,Bommanahalli,TWO_WHEELER,4,1050,0,560076.0,10500,100000,IF
ff8081814e92b691014e9bd1f3953a8f,BHK1,06-03-2017 10:51,1,1,2.0,SEMI_FURNISHED,0,12.90986838,77.62199155,ANYONE,0,Bommanahalli,TWO_WHEELER,0,300,0,560068.0,7000,75000,IF
ff8081814f4536a2014f49b27b7f1566,BHK2,28-02-2017 13:45,2,0,2.0,SEMI_FURNISHED,0,12.89828036,77.61780971,FAMILY,0,Bommanahalli,TWO_WHEELER,12,800,0,560068.0,12000,100000,IF
ff8081814f6d2e5f014f6d9f29b90335,BHK1,25-02-2017 11:43,1,3,3.0,SEMI_FURNISHED,0,12.88901243,77.61987408,FAMILY,0,Bommanahalli,TWO_WHEELER,4,500,0,560076.0,5500,40000,IF
ff8081814f93cd6a014f970d6f2c0bd0,BHK2,07-03-2017 13:14,2,3,3.0,SEMI_FURNISHED,0,12.91208601,77.62549287,FAMILY,1,Bommanahalli,TWO_WHEELER,6,900,0,560068.0,16000,70000,AP
ff8081814fa872fa014fac9253ac1677,BHK1,13-03-2017 08:49,1,2,2.0,SEMI_FURNISHED,0,12.90623466,77.6310729,FAMILY,0,Bommanahalli,TWO_WHEELER,1,500,0,560068.0,11000,50000,AP
ff8081815061ca1b0150631e782105c4,BHK1,09-03-2017 11:41,1,2,4.0,SEMI_FURNISHED,0,12.8983601,77.6179465,ANYONE,0,Bommanahalli,TWO_WHEELER,0,450,0,560068.0,8000,25000,AP
ff808181506fff0801507421a52b1c67,BHK1,17-02-2017 22:52,1,0,2.0,NOT_FURNISHED,0,12.90783729,77.62409176,ANYONE,0,Bommanahalli,TWO_WHEELER,15,400,0,560068.0,6000,60000,IF
ff808181509fb2600150a26e370206cc,BHK1,21-03-2017 10:39,1,3,4.0,SEMI_FURNISHED,0,12.91195355,77.62549622,ANYONE,0,Bommanahalli,NONE,4,400,0,560068.0,8500,50000,IF
ff80818150a87b000150a8b48ea102ec,BHK2,02-03-2017 20:09,2,2,3.0,SEMI_FURNISHED,0,12.8955584,77.62090003,FAMILY,0,Bommanahalli,TWO_WHEELER,2,950,0,560076.0,12000,100000,IF
ff80818150c8dbbb0150cc428f410ca0,BHK2,06-03-2017 11:15,2,1,2.0,SEMI_FURNISHED,0,12.90642044,77.62836064,FAMILY,0,Bommanahalli,TWO_WHEELER,2,800,0,560068.0,11000,100000,AP
ff808181513afb1d01513d96f0fa0be7,BHK2,25-03-2017 14:31,2,2,2.0,SEMI_FURNISHED,0,12.90421024,77.62704818,FAMILY,0,Bommanahalli,TWO_WHEELER,5,800,0,560068.0,9000,50000,IF
ff80818151494edc015151a2c3c83c16,BHK2,13-02-2017 20:39,2,0,2.0,FULLY_FURNISHED,0,12.899653,77.6242642,ANYONE,0,Bommanahalli,BOTH,15,1000,0,560068.0,16000,150000,AP
ff80818151669a4001518026312e4e61,BHK2,09-02-2017 14:05,2,2,4.0,SEMI_FURNISHED,0,12.90034378,77.63471901,FAMILY,1,Bommanahalli,BOTH,8,1400,0,560068.0,18000,100000,AP
ff80818151e815a60151e82a361701af,BHK1,03-02-2017 19:09,1,2,4.0,SEMI_FURNISHED,0,12.89964925,77.61963828,ANYONE,0,Bommanahalli,BOTH,0,600,0,560076.0,5500,30000,IF
ff80818152308f400152354816a8306d,BHK1,26-02-2017 12:22,1,0,2.0,SEMI_FURNISHED,0,12.90416267,77.62693491,ANYONE,0,Bommanahalli,TWO_WHEELER,4,400,0,560068.0,10000,60000,IF
ff80818152308f400152354c0bc530b2,BHK2,07-02-2017 15:59,2,1,2.0,SEMI_FURNISHED,0,12.90417835,77.62697247,ANYONE,0,Bommanahalli,TWO_WHEELER,4,800,0,560068.0,14000,100000,IF
ff808181523fe1ba0152407f44a609ce,BHK2,14-02-2017 09:57,1,1,2.0,SEMI_FURNISHED,0,12.90826098,77.62361971,ANYONE,0,Bommanahalli,TWO_WHEELER,2,600,0,560068.0,11000,50000,AP
ff8081815245369b015249a869ad28c7,BHK1,09-02-2017 11:55,1,1,3.0,SEMI_FURNISHED,0,12.90525812,77.62703387,FAMILY,0,Bommanahalli,BOTH,0,700,0,560068.0,12000,100000,AP
ff8081815245369b015249f0d77b2e61,BHK2,17-03-2017 18:19,2,1,3.0,SEMI_FURNISHED,0,12.89825029,77.61773461,ANYONE,0,Bommanahalli,TWO_WHEELER,8,900,0,560076.0,15000,150000,IF
ff808181525d97c601525e4a521f07bd,BHK2,26-03-2017 16:34,2,4,6.0,SEMI_FURNISHED,1,12.89940262,77.62085724,FAMILY,1,Bommanahalli,BOTH,7,1337,1,560068.0,22000,220000,AP
ff80818152ab67620152ae8d6eb81f44,RK1,28-03-2017 18:51,1,4,4.0,NOT_FURNISHED,0,12.90871933,77.62456051,ANYONE,0,Bommanahalli,TWO_WHEELER,1,120,0,560068.0,2600,10000,AP
ff80818152dddb9b0152df4df1b31889,BHK1,10-02-2017 21:15,1,0,0.0,SEMI_FURNISHED,0,12.91352745,77.62449536,ANYONE,0,Bommanahalli,TWO_WHEELER,3,350,0,560068.0,5500,30000,IH
ff80818153851542015389222dd72964,BHK2,21-03-2017 15:45,2,3,3.0,FULLY_FURNISHED,0,12.90027188,77.6298334,ANYONE,1,Bommanahalli,BOTH,4,1222,0,560068.0,18000,100000,IF
ff80818154072b3a0154095dc54c154b,BHK2,24-02-2017 15:16,2,3,9.0,SEMI_FURNISHED,1,12.88796826,77.61101636,FAMILY,1,Bommanahalli,BOTH,0,1335,1,560076.0,20000,200000,AP
ff80818154198f5701542034d7a7608b,BHK2,27-03-2017 16:58,2,1,4.0,SEMI_FURNISHED,0,12.89038332,77.61993932,ANYONE,0,Bommanahalli,TWO_WHEELER,2,650,0,560076.0,13500,50000,IF
ff808181541994b501542026d23f5f80,BHK1,27-03-2017 18:10,1,4,4.0,SEMI_FURNISHED,0,12.88996499,77.61975157,FAMILY,1,Bommanahalli,TWO_WHEELER,1,550,0,560076.0,8500,40000,IF
ff8081815511306d015514d314521f6e,BHK1,15-03-2017 18:56,1,0,1.0,NOT_FURNISHED,0,12.90989136,77.62886348,FAMILY,0,Bommanahalli,TWO_WHEELER,6,400,0,560068.0,6000,20000,IF
