property_id,type,activation_date,bathroom,floor,total_floor,furnishing,gym,latitude,longitude,lease_type,lift,locality,parking,property_age,property_size,swimming_pool,pin_code,rent,deposit,building_type
ff8081814bf2b000014bf2c7a4b50067,BHK2,13-03-2017 12:36,3,1,2.0,SEMI_FURNISHED,0,12.87981753,77.62549027,FAMILY,0,Begur,BOTH,4,1100,0,560068.0,12000,120000,IF
ff8081814c58efc3014c64d8dd4122f3,BHK2,04-03-2017 19:17,2,3,3.0,SEMI_FURNISHED,0,12.88032478,77.6252596,FAMILY,0,Begur,BOTH,2,800,0,560068.0,12500,75000,IF
ff8081814c85ba5d014c88f02f190887,BHK2,23-03-2017 19:19,1,1,2.0,SEMI_FURNISHED,0,12.87866271,77.63754154,ANYONE,0,Begur,TWO_WHEELER,2,800,0,560068.0,9500,95000,IF
ff8081814cb6d4be014cb76abba503d5,BHK2,21-03-2017 12:12,2,2,2.0,SEMI_FURNISHED,0,12.88213941,77.6252452,FAMILY,0,Begur,FOUR_WHEELER,1,800,0,560114.0,13000,80000,IF
ff8081814cb771fb014cbcb50bee11e0,BHK2,24-03-2017 18:02,2,3,4.0,SEMI_FURNISHED,1,12.85913563,77.60237885,FAMILY,1,Begur,BOTH,2,1285,1,,17000,170000,AP
ff8081814d28f714014d31b9806e1f9c,BHK1,04-03-2017 13:44,1,2,2.0,NOT_FURNISHED,0,12.87744141,77.62536782,ANYONE,0,Begur,BOTH,2,800,0,560068.0,5500,40000,IF
ff8081814de81414014df1dcedee4888,BHK2,03-02-2017 15:43,1,1,1.0,SEMI_FURNISHED,0,12.88246513,77.62522389,FAMILY,0,Begur,TWO_WHEELER,8,800,0,560068.0,9000,90000,IF
ff8081814fb63c61014fbcca361b2d7e,BHK1,18-03-2017 14:29,1,2,3.0,SEMI_FURNISHED,0,12.87236481,77.64131397,FAMILY,0,Begur,BOTH,8,700,0,560068.0,11000,110000,IF
ff8081814ffe57bd01500300fe1f17f3,BHK3,26-03-2017 12:24,3,7,14.0,SEMI_FURNISHED,1,12.85921192,77.61447144,ANYONE,1,Begur,BOTH,1,1550,1,560076.0,23000,200000,AP
ff8081815115c85501511aac37d824b1,BHK2,18-03-2017 15:43,2,1,4.0,SEMI_FURNISHED,1,12.87010792,77.62785409,ANYONE,1,Begur,BOTH,2,1000,1,560068.0,15000,50000,AP
